"REF_DATE","GEO","DGUID","Labour force characteristics","Educational attainment","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","15 to 24 years","Percentage","242","units","0","v2583355","1.8.2.2.2","20.9","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","15 to 24 years","Percentage","242","units","0","v2583355","1.8.2.2.2","15.3","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","15 to 24 years","Percentage","242","units","0","v2583355","1.8.2.2.2","22.9","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","15 to 24 years","Percentage","242","units","0","v2583355","1.8.2.2.2","16.8","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","15 to 24 years","Percentage","242","units","0","v2583355","1.8.2.2.2","16.6","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","15 to 24 years","Percentage","242","units","0","v2583355","1.8.2.2.2","19.3","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","25 years and over","Percentage","242","units","0","v2583445","1.8.2.2.3","8.5","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","25 years and over","Percentage","242","units","0","v2583445","1.8.2.2.3","7.1","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","25 years and over","Percentage","242","units","0","v2583445","1.8.2.2.3","10.8","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","25 years and over","Percentage","242","units","0","v2583445","1.8.2.2.3","10.4","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","25 years and over","Percentage","242","units","0","v2583445","1.8.2.2.3","7.2","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","25 years and over","Percentage","242","units","0","v2583445","1.8.2.2.3","7.2","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","25 to 44 years","Percentage","242","units","0","v2583535","1.8.2.2.4","8.8","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","25 to 44 years","Percentage","242","units","0","v2583535","1.8.2.2.4","8.7","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","25 to 44 years","Percentage","242","units","0","v2583535","1.8.2.2.4","11.4","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","25 to 44 years","Percentage","242","units","0","v2583535","1.8.2.2.4","8.6","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","25 to 44 years","Percentage","242","units","0","v2583535","1.8.2.2.4","7.5","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","25 to 44 years","Percentage","242","units","0","v2583535","1.8.2.2.4","7.3","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","45 years and over","Percentage","242","units","0","v2583625","1.8.2.2.5","8.4","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","45 years and over","Percentage","242","units","0","v2583625","1.8.2.2.5","6.5","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","45 years and over","Percentage","242","units","0","v2583625","1.8.2.2.5","10.5","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","45 years and over","Percentage","242","units","0","v2583625","1.8.2.2.5","11.0","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","45 years and over","Percentage","242","units","0","v2583625","1.8.2.2.5","7.1","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","45 years and over","Percentage","242","units","0","v2583625","1.8.2.2.5","7.1","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","25 to 54 years","Percentage","242","units","0","v2583715","1.8.2.2.6","8.8","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","25 to 54 years","Percentage","242","units","0","v2583715","1.8.2.2.6","8.0","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","25 to 54 years","Percentage","242","units","0","v2583715","1.8.2.2.6","11.5","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","25 to 54 years","Percentage","242","units","0","v2583715","1.8.2.2.6","8.7","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","25 to 54 years","Percentage","242","units","0","v2583715","1.8.2.2.6","7.4","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","25 to 54 years","Percentage","242","units","0","v2583715","1.8.2.2.6","6.0","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","55 years and over","Percentage","242","units","0","v2583805","1.8.2.2.7","8.3","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","55 years and over","Percentage","242","units","0","v2583805","1.8.2.2.7","6.2","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","55 years and over","Percentage","242","units","0","v2583805","1.8.2.2.7","10.3","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","55 years and over","Percentage","242","units","0","v2583805","1.8.2.2.7","12.0","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","55 years and over","Percentage","242","units","0","v2583805","1.8.2.2.7","6.9","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","55 years and over","Percentage","242","units","0","v2583805","1.8.2.2.7","8.6","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","55 to 64 years","Percentage","242","units","0","v2583895","1.8.2.2.8","10.2","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","55 to 64 years","Percentage","242","units","0","v2583895","1.8.2.2.8","8.0","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","55 to 64 years","Percentage","242","units","0","v2583895","1.8.2.2.8","12.4","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","55 to 64 years","Percentage","242","units","0","v2583895","1.8.2.2.8","13.4","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","55 to 64 years","Percentage","242","units","0","v2583895","1.8.2.2.8","6.8","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","55 to 64 years","Percentage","242","units","0","v2583895","1.8.2.2.8","9.0","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","15 to 24 years","Percentage","242","units","0","v2584165","1.8.2.3.2","18.9","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","15 to 24 years","Percentage","242","units","0","v2584165","1.8.2.3.2","21.4","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","15 to 24 years","Percentage","242","units","0","v2584165","1.8.2.3.2","25.2","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","15 to 24 years","Percentage","242","units","0","v2584165","1.8.2.3.2","15.2","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","15 to 24 years","Percentage","242","units","0","v2584165","1.8.2.3.2","12.9","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","15 to 24 years","Percentage","242","units","0","v2584165","1.8.2.3.2","17.7","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","25 years and over","Percentage","242","units","0","v2584255","1.8.2.3.3","9.3","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","25 years and over","Percentage","242","units","0","v2584255","1.8.2.3.3","10.5","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","25 years and over","Percentage","242","units","0","v2584255","1.8.2.3.3","14.5","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","25 years and over","Percentage","242","units","0","v2584255","1.8.2.3.3","11.1","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","25 years and over","Percentage","242","units","0","v2584255","1.8.2.3.3","10.1","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","25 years and over","Percentage","242","units","0","v2584255","1.8.2.3.3","10.6","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","25 to 44 years","Percentage","242","units","0","v2584345","1.8.2.3.4","12.6","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","25 to 44 years","Percentage","242","units","0","v2584345","1.8.2.3.4","11.4","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","25 to 44 years","Percentage","242","units","0","v2584345","1.8.2.3.4","19.3","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","25 to 44 years","Percentage","242","units","0","v2584345","1.8.2.3.4","15.6","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","25 to 44 years","Percentage","242","units","0","v2584345","1.8.2.3.4","10.9","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","25 to 44 years","Percentage","242","units","0","v2584345","1.8.2.3.4","21.2","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","45 years and over","Percentage","242","units","0","v2584435","1.8.2.3.5","8.1","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","45 years and over","Percentage","242","units","0","v2584435","1.8.2.3.5","10.3","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","45 years and over","Percentage","242","units","0","v2584435","1.8.2.3.5","13.2","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","45 years and over","Percentage","242","units","0","v2584435","1.8.2.3.5","9.9","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","45 years and over","Percentage","242","units","0","v2584435","1.8.2.3.5","9.9","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","45 years and over","Percentage","242","units","0","v2584435","1.8.2.3.5","7.0","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","25 to 54 years","Percentage","242","units","0","v2584525","1.8.2.3.6","10.3","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","25 to 54 years","Percentage","242","units","0","v2584525","1.8.2.3.6","11.3","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","25 to 54 years","Percentage","242","units","0","v2584525","1.8.2.3.6","14.8","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","25 to 54 years","Percentage","242","units","0","v2584525","1.8.2.3.6","13.0","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","25 to 54 years","Percentage","242","units","0","v2584525","1.8.2.3.6","12.1","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","25 to 54 years","Percentage","242","units","0","v2584525","1.8.2.3.6","14.1","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","55 years and over","Percentage","242","units","0","v2584615","1.8.2.3.7","7.9","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","55 years and over","Percentage","242","units","0","v2584615","1.8.2.3.7","9.7","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","55 years and over","Percentage","242","units","0","v2584615","1.8.2.3.7","14.2","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","55 years and over","Percentage","242","units","0","v2584615","1.8.2.3.7","9.9","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","55 years and over","Percentage","242","units","0","v2584615","1.8.2.3.7","8.0","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","55 years and over","Percentage","242","units","0","v2584615","1.8.2.3.7","7.5","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","55 to 64 years","Percentage","242","units","0","v2584705","1.8.2.3.8","9.4","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","55 to 64 years","Percentage","242","units","0","v2584705","1.8.2.3.8","9.3","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","55 to 64 years","Percentage","242","units","0","v2584705","1.8.2.3.8","15.6","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","55 to 64 years","Percentage","242","units","0","v2584705","1.8.2.3.8","10.5","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","55 to 64 years","Percentage","242","units","0","v2584705","1.8.2.3.8","7.0","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","55 to 64 years","Percentage","242","units","0","v2584705","1.8.2.3.8","8.2","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","Some high school","Males","15 to 24 years","Percentage","242","units","0","v2583356","1.8.3.2.2","18.1","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","Some high school","Males","15 to 24 years","Percentage","242","units","0","v2583356","1.8.3.2.2","18.3","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","Some high school","Males","15 to 24 years","Percentage","242","units","0","v2583356","1.8.3.2.2","25.8","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","Some high school","Males","15 to 24 years","Percentage","242","units","0","v2583356","1.8.3.2.2","20.3","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","Some high school","Males","15 to 24 years","Percentage","242","units","0","v2583356","1.8.3.2.2","15.1","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","Some high school","Males","15 to 24 years","Percentage","242","units","0","v2583356","1.8.3.2.2","16.3","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","Some high school","Males","25 years and over","Percentage","242","units","0","v2583446","1.8.3.2.3","7.9","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","Some high school","Males","25 years and over","Percentage","242","units","0","v2583446","1.8.3.2.3","8.3","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","Some high school","Males","25 years and over","Percentage","242","units","0","v2583446","1.8.3.2.3","11.3","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","Some high school","Males","25 years and over","Percentage","242","units","0","v2583446","1.8.3.2.3","10.2","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","Some high school","Males","25 years and over","Percentage","242","units","0","v2583446","1.8.3.2.3","8.2","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","Some high school","Males","25 years and over","Percentage","242","units","0","v2583446","1.8.3.2.3","7.5","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","Some high school","Males","25 to 44 years","Percentage","242","units","0","v2583536","1.8.3.2.4","9.4","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","Some high school","Males","25 to 44 years","Percentage","242","units","0","v2583536","1.8.3.2.4","9.6","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","Some high school","Males","25 to 44 years","Percentage","242","units","0","v2583536","1.8.3.2.4","13.7","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","Some high school","Males","25 to 44 years","Percentage","242","units","0","v2583536","1.8.3.2.4","11.9","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","Some high school","Males","25 to 44 years","Percentage","242","units","0","v2583536","1.8.3.2.4","9.6","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","Some high school","Males","25 to 44 years","Percentage","242","units","0","v2583536","1.8.3.2.4","9.0","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","Some high school","Males","45 years and over","Percentage","242","units","0","v2583626","1.8.3.2.5","7.0","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","Some high school","Males","45 years and over","Percentage","242","units","0","v2583626","1.8.3.2.5","7.4","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","Some high school","Males","45 years and over","Percentage","242","units","0","v2583626","1.8.3.2.5","9.8","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","Some high school","Males","45 years and over","Percentage","242","units","0","v2583626","1.8.3.2.5","9.2","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","Some high school","Males","45 years and over","Percentage","242","units","0","v2583626","1.8.3.2.5","7.3","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","Some high school","Males","45 years and over","Percentage","242","units","0","v2583626","1.8.3.2.5","6.6","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","Some high school","Males","25 to 54 years","Percentage","242","units","0","v2583716","1.8.3.2.6","8.4","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","Some high school","Males","25 to 54 years","Percentage","242","units","0","v2583716","1.8.3.2.6","9.0","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","Some high school","Males","25 to 54 years","Percentage","242","units","0","v2583716","1.8.3.2.6","12.2","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","Some high school","Males","25 to 54 years","Percentage","242","units","0","v2583716","1.8.3.2.6","10.9","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","Some high school","Males","25 to 54 years","Percentage","242","units","0","v2583716","1.8.3.2.6","8.9","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","Some high school","Males","25 to 54 years","Percentage","242","units","0","v2583716","1.8.3.2.6","8.3","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","Some high school","Males","55 years and over","Percentage","242","units","0","v2583806","1.8.3.2.7","7.3","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","Some high school","Males","55 years and over","Percentage","242","units","0","v2583806","1.8.3.2.7","7.2","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","Some high school","Males","55 years and over","Percentage","242","units","0","v2583806","1.8.3.2.7","9.9","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","Some high school","Males","55 years and over","Percentage","242","units","0","v2583806","1.8.3.2.7","9.3","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","Some high school","Males","55 years and over","Percentage","242","units","0","v2583806","1.8.3.2.7","7.1","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","Some high school","Males","55 years and over","Percentage","242","units","0","v2583806","1.8.3.2.7","6.3","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","Some high school","Males","55 to 64 years","Percentage","242","units","0","v2583896","1.8.3.2.8","8.1","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","Some high school","Males","55 to 64 years","Percentage","242","units","0","v2583896","1.8.3.2.8","8.3","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","Some high school","Males","55 to 64 years","Percentage","242","units","0","v2583896","1.8.3.2.8","11.0","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","Some high school","Males","55 to 64 years","Percentage","242","units","0","v2583896","1.8.3.2.8","10.3","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","Some high school","Males","55 to 64 years","Percentage","242","units","0","v2583896","1.8.3.2.8","8.1","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","Some high school","Males","55 to 64 years","Percentage","242","units","0","v2583896","1.8.3.2.8","6.4","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","Some high school","Females","15 to 24 years","Percentage","242","units","0","v2584166","1.8.3.3.2","15.9","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","Some high school","Females","15 to 24 years","Percentage","242","units","0","v2584166","1.8.3.3.2","15.2","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","Some high school","Females","15 to 24 years","Percentage","242","units","0","v2584166","1.8.3.3.2","25.1","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","Some high school","Females","15 to 24 years","Percentage","242","units","0","v2584166","1.8.3.3.2","19.1","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","Some high school","Females","15 to 24 years","Percentage","242","units","0","v2584166","1.8.3.3.2","14.7","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","Some high school","Females","15 to 24 years","Percentage","242","units","0","v2584166","1.8.3.3.2","17.3","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","Some high school","Females","25 years and over","Percentage","242","units","0","v2584256","1.8.3.3.3","8.7","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","Some high school","Females","25 years and over","Percentage","242","units","0","v2584256","1.8.3.3.3","7.6","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","Some high school","Females","25 years and over","Percentage","242","units","0","v2584256","1.8.3.3.3","13.0","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","Some high school","Females","25 years and over","Percentage","242","units","0","v2584256","1.8.3.3.3","12.2","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","Some high school","Females","25 years and over","Percentage","242","units","0","v2584256","1.8.3.3.3","9.0","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","Some high school","Females","25 years and over","Percentage","242","units","0","v2584256","1.8.3.3.3","8.5","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","Some high school","Females","25 to 44 years","Percentage","242","units","0","v2584346","1.8.3.3.4","11.8","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","Some high school","Females","25 to 44 years","Percentage","242","units","0","v2584346","1.8.3.3.4","10.6","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","Some high school","Females","25 to 44 years","Percentage","242","units","0","v2584346","1.8.3.3.4","14.3","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","Some high school","Females","25 to 44 years","Percentage","242","units","0","v2584346","1.8.3.3.4","15.9","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","Some high school","Females","25 to 44 years","Percentage","242","units","0","v2584346","1.8.3.3.4","10.4","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","Some high school","Females","25 to 44 years","Percentage","242","units","0","v2584346","1.8.3.3.4","11.5","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","Some high school","Females","45 years and over","Percentage","242","units","0","v2584436","1.8.3.3.5","7.2","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","Some high school","Females","45 years and over","Percentage","242","units","0","v2584436","1.8.3.3.5","6.1","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","Some high school","Females","45 years and over","Percentage","242","units","0","v2584436","1.8.3.3.5","12.4","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","Some high school","Females","45 years and over","Percentage","242","units","0","v2584436","1.8.3.3.5","10.5","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","Some high school","Females","45 years and over","Percentage","242","units","0","v2584436","1.8.3.3.5","8.3","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","Some high school","Females","45 years and over","Percentage","242","units","0","v2584436","1.8.3.3.5","7.1","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","Some high school","Females","25 to 54 years","Percentage","242","units","0","v2584526","1.8.3.3.6","10.1","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","Some high school","Females","25 to 54 years","Percentage","242","units","0","v2584526","1.8.3.3.6","9.1","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","Some high school","Females","25 to 54 years","Percentage","242","units","0","v2584526","1.8.3.3.6","13.8","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","Some high school","Females","25 to 54 years","Percentage","242","units","0","v2584526","1.8.3.3.6","14.5","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","Some high school","Females","25 to 54 years","Percentage","242","units","0","v2584526","1.8.3.3.6","9.5","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","Some high school","Females","25 to 54 years","Percentage","242","units","0","v2584526","1.8.3.3.6","10.3","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","Some high school","Females","55 years and over","Percentage","242","units","0","v2584616","1.8.3.3.7","6.7","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","Some high school","Females","55 years and over","Percentage","242","units","0","v2584616","1.8.3.3.7","5.6","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","Some high school","Females","55 years and over","Percentage","242","units","0","v2584616","1.8.3.3.7","12.0","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","Some high school","Females","55 years and over","Percentage","242","units","0","v2584616","1.8.3.3.7","9.6","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","Some high school","Females","55 years and over","Percentage","242","units","0","v2584616","1.8.3.3.7","8.3","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","Some high school","Females","55 years and over","Percentage","242","units","0","v2584616","1.8.3.3.7","6.4","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","Some high school","Females","55 to 64 years","Percentage","242","units","0","v2584706","1.8.3.3.8","7.9","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","Some high school","Females","55 to 64 years","Percentage","242","units","0","v2584706","1.8.3.3.8","6.0","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","Some high school","Females","55 to 64 years","Percentage","242","units","0","v2584706","1.8.3.3.8","12.5","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","Some high school","Females","55 to 64 years","Percentage","242","units","0","v2584706","1.8.3.3.8","11.1","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","Some high school","Females","55 to 64 years","Percentage","242","units","0","v2584706","1.8.3.3.8","8.6","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","Some high school","Females","55 to 64 years","Percentage","242","units","0","v2584706","1.8.3.3.8","7.5","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","High school graduate","Males","15 to 24 years","Percentage","242","units","0","v2583357","1.8.4.2.2","11.7","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","High school graduate","Males","15 to 24 years","Percentage","242","units","0","v2583357","1.8.4.2.2","12.4","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","High school graduate","Males","15 to 24 years","Percentage","242","units","0","v2583357","1.8.4.2.2","21.0","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","High school graduate","Males","15 to 24 years","Percentage","242","units","0","v2583357","1.8.4.2.2","13.5","","","","1"
