"REF_DATE","GEO","DGUID","Labour force characteristics","Educational attainment","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Males","15 to 24 years","Percentage","242","units","0","v2583359","1.8.6.2.2","7.4","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Males","25 years and over","Percentage","242","units","0","v2583449","1.8.6.2.3","5.0","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Males","25 years and over","Percentage","242","units","0","v2583449","1.8.6.2.3","4.8","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Males","25 years and over","Percentage","242","units","0","v2583449","1.8.6.2.3","7.8","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Males","25 years and over","Percentage","242","units","0","v2583449","1.8.6.2.3","6.4","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Males","25 years and over","Percentage","242","units","0","v2583449","1.8.6.2.3","4.1","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Males","25 years and over","Percentage","242","units","0","v2583449","1.8.6.2.3","4.1","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Males","25 to 44 years","Percentage","242","units","0","v2583539","1.8.6.2.4","4.7","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Males","25 to 44 years","Percentage","242","units","0","v2583539","1.8.6.2.4","4.7","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Males","25 to 44 years","Percentage","242","units","0","v2583539","1.8.6.2.4","8.3","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Males","25 to 44 years","Percentage","242","units","0","v2583539","1.8.6.2.4","6.4","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Males","25 to 44 years","Percentage","242","units","0","v2583539","1.8.6.2.4","3.9","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Males","25 to 44 years","Percentage","242","units","0","v2583539","1.8.6.2.4","4.3","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Males","45 years and over","Percentage","242","units","0","v2583629","1.8.6.2.5","5.2","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Males","45 years and over","Percentage","242","units","0","v2583629","1.8.6.2.5","4.9","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Males","45 years and over","Percentage","242","units","0","v2583629","1.8.6.2.5","7.3","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Males","45 years and over","Percentage","242","units","0","v2583629","1.8.6.2.5","6.5","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Males","45 years and over","Percentage","242","units","0","v2583629","1.8.6.2.5","4.4","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Males","45 years and over","Percentage","242","units","0","v2583629","1.8.6.2.5","3.9","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Males","25 to 54 years","Percentage","242","units","0","v2583719","1.8.6.2.6","4.7","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Males","25 to 54 years","Percentage","242","units","0","v2583719","1.8.6.2.6","4.4","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Males","25 to 54 years","Percentage","242","units","0","v2583719","1.8.6.2.6","7.6","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Males","25 to 54 years","Percentage","242","units","0","v2583719","1.8.6.2.6","6.0","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Males","25 to 54 years","Percentage","242","units","0","v2583719","1.8.6.2.6","3.7","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Males","25 to 54 years","Percentage","242","units","0","v2583719","1.8.6.2.6","4.0","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Males","55 years and over","Percentage","242","units","0","v2583809","1.8.6.2.7","5.9","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Males","55 years and over","Percentage","242","units","0","v2583809","1.8.6.2.7","5.7","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Males","55 years and over","Percentage","242","units","0","v2583809","1.8.6.2.7","8.6","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Males","55 years and over","Percentage","242","units","0","v2583809","1.8.6.2.7","7.6","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Males","55 years and over","Percentage","242","units","0","v2583809","1.8.6.2.7","5.4","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Males","55 years and over","Percentage","242","units","0","v2583809","1.8.6.2.7","4.6","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Males","55 to 64 years","Percentage","242","units","0","v2583899","1.8.6.2.8","5.9","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Males","55 to 64 years","Percentage","242","units","0","v2583899","1.8.6.2.8","5.8","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Males","55 to 64 years","Percentage","242","units","0","v2583899","1.8.6.2.8","8.6","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Males","55 to 64 years","Percentage","242","units","0","v2583899","1.8.6.2.8","7.2","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Males","55 to 64 years","Percentage","242","units","0","v2583899","1.8.6.2.8","5.3","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Males","55 to 64 years","Percentage","242","units","0","v2583899","1.8.6.2.8","4.6","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Females","15 to 24 years","Percentage","242","units","0","v2584169","1.8.6.3.2","5.3","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Females","15 to 24 years","Percentage","242","units","0","v2584169","1.8.6.3.2","6.1","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Females","15 to 24 years","Percentage","242","units","0","v2584169","1.8.6.3.2","13.8","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Females","15 to 24 years","Percentage","242","units","0","v2584169","1.8.6.3.2","8.1","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Females","15 to 24 years","Percentage","242","units","0","v2584169","1.8.6.3.2","5.4","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Females","15 to 24 years","Percentage","242","units","0","v2584169","1.8.6.3.2","5.5","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Females","25 years and over","Percentage","242","units","0","v2584259","1.8.6.3.3","4.6","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Females","25 years and over","Percentage","242","units","0","v2584259","1.8.6.3.3","4.2","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Females","25 years and over","Percentage","242","units","0","v2584259","1.8.6.3.3","7.8","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Females","25 years and over","Percentage","242","units","0","v2584259","1.8.6.3.3","6.7","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Females","25 years and over","Percentage","242","units","0","v2584259","1.8.6.3.3","4.2","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Females","25 years and over","Percentage","242","units","0","v2584259","1.8.6.3.3","4.1","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Females","25 to 44 years","Percentage","242","units","0","v2584349","1.8.6.3.4","4.4","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Females","25 to 44 years","Percentage","242","units","0","v2584349","1.8.6.3.4","4.2","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Females","25 to 44 years","Percentage","242","units","0","v2584349","1.8.6.3.4","8.0","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Females","25 to 44 years","Percentage","242","units","0","v2584349","1.8.6.3.4","6.3","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Females","25 to 44 years","Percentage","242","units","0","v2584349","1.8.6.3.4","4.2","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Females","25 to 44 years","Percentage","242","units","0","v2584349","1.8.6.3.4","4.2","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Females","45 years and over","Percentage","242","units","0","v2584439","1.8.6.3.5","4.7","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Females","45 years and over","Percentage","242","units","0","v2584439","1.8.6.3.5","4.3","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Females","45 years and over","Percentage","242","units","0","v2584439","1.8.6.3.5","7.5","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Females","45 years and over","Percentage","242","units","0","v2584439","1.8.6.3.5","7.1","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Females","45 years and over","Percentage","242","units","0","v2584439","1.8.6.3.5","4.2","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Females","45 years and over","Percentage","242","units","0","v2584439","1.8.6.3.5","4.1","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Females","25 to 54 years","Percentage","242","units","0","v2584529","1.8.6.3.6","4.5","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Females","25 to 54 years","Percentage","242","units","0","v2584529","1.8.6.3.6","4.0","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Females","25 to 54 years","Percentage","242","units","0","v2584529","1.8.6.3.6","7.7","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Females","25 to 54 years","Percentage","242","units","0","v2584529","1.8.6.3.6","6.2","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Females","25 to 54 years","Percentage","242","units","0","v2584529","1.8.6.3.6","4.0","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Females","25 to 54 years","Percentage","242","units","0","v2584529","1.8.6.3.6","4.0","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Females","55 years and over","Percentage","242","units","0","v2584619","1.8.6.3.7","4.7","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Females","55 years and over","Percentage","242","units","0","v2584619","1.8.6.3.7","5.0","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Females","55 years and over","Percentage","242","units","0","v2584619","1.8.6.3.7","7.9","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Females","55 years and over","Percentage","242","units","0","v2584619","1.8.6.3.7","8.2","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Females","55 years and over","Percentage","242","units","0","v2584619","1.8.6.3.7","4.7","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Females","55 years and over","Percentage","242","units","0","v2584619","1.8.6.3.7","4.4","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Females","55 to 64 years","Percentage","242","units","0","v2584709","1.8.6.3.8","4.8","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Females","55 to 64 years","Percentage","242","units","0","v2584709","1.8.6.3.8","5.2","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Females","55 to 64 years","Percentage","242","units","0","v2584709","1.8.6.3.8","7.4","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Females","55 to 64 years","Percentage","242","units","0","v2584709","1.8.6.3.8","7.9","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Females","55 to 64 years","Percentage","242","units","0","v2584709","1.8.6.3.8","4.7","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","Postsecondary certificate or diploma","Females","55 to 64 years","Percentage","242","units","0","v2584709","1.8.6.3.8","4.5","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","University degree","Males","15 to 24 years","Percentage","242","units","0","v2583360","1.8.7.2.2","10.1","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","University degree","Males","15 to 24 years","Percentage","242","units","0","v2583360","1.8.7.2.2","10.2","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","University degree","Males","15 to 24 years","Percentage","242","units","0","v2583360","1.8.7.2.2","18.5","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","University degree","Males","15 to 24 years","Percentage","242","units","0","v2583360","1.8.7.2.2","12.2","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","University degree","Males","15 to 24 years","Percentage","242","units","0","v2583360","1.8.7.2.2","8.8","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","University degree","Males","15 to 24 years","Percentage","242","units","0","v2583360","1.8.7.2.2","10.1","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","University degree","Males","25 years and over","Percentage","242","units","0","v2583450","1.8.7.2.3","4.0","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","University degree","Males","25 years and over","Percentage","242","units","0","v2583450","1.8.7.2.3","4.0","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","University degree","Males","25 years and over","Percentage","242","units","0","v2583450","1.8.7.2.3","6.1","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","University degree","Males","25 years and over","Percentage","242","units","0","v2583450","1.8.7.2.3","4.9","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","University degree","Males","25 years and over","Percentage","242","units","0","v2583450","1.8.7.2.3","3.5","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","University degree","Males","25 years and over","Percentage","242","units","0","v2583450","1.8.7.2.3","4.0","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","University degree","Males","25 to 44 years","Percentage","242","units","0","v2583540","1.8.7.2.4","3.9","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","University degree","Males","25 to 44 years","Percentage","242","units","0","v2583540","1.8.7.2.4","4.2","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","University degree","Males","25 to 44 years","Percentage","242","units","0","v2583540","1.8.7.2.4","6.1","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","University degree","Males","25 to 44 years","Percentage","242","units","0","v2583540","1.8.7.2.4","4.7","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","University degree","Males","25 to 44 years","Percentage","242","units","0","v2583540","1.8.7.2.4","3.5","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","University degree","Males","25 to 44 years","Percentage","242","units","0","v2583540","1.8.7.2.4","4.0","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","University degree","Males","45 years and over","Percentage","242","units","0","v2583630","1.8.7.2.5","4.1","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","University degree","Males","45 years and over","Percentage","242","units","0","v2583630","1.8.7.2.5","3.8","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","University degree","Males","45 years and over","Percentage","242","units","0","v2583630","1.8.7.2.5","6.0","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","University degree","Males","45 years and over","Percentage","242","units","0","v2583630","1.8.7.2.5","5.0","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","University degree","Males","45 years and over","Percentage","242","units","0","v2583630","1.8.7.2.5","3.6","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","University degree","Males","45 years and over","Percentage","242","units","0","v2583630","1.8.7.2.5","3.9","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","University degree","Males","25 to 54 years","Percentage","242","units","0","v2583720","1.8.7.2.6","3.8","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","University degree","Males","25 to 54 years","Percentage","242","units","0","v2583720","1.8.7.2.6","3.8","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","University degree","Males","25 to 54 years","Percentage","242","units","0","v2583720","1.8.7.2.6","5.8","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","University degree","Males","25 to 54 years","Percentage","242","units","0","v2583720","1.8.7.2.6","4.6","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","University degree","Males","25 to 54 years","Percentage","242","units","0","v2583720","1.8.7.2.6","3.4","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","University degree","Males","25 to 54 years","Percentage","242","units","0","v2583720","1.8.7.2.6","3.9","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","University degree","Males","55 years and over","Percentage","242","units","0","v2583810","1.8.7.2.7","4.6","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","University degree","Males","55 years and over","Percentage","242","units","0","v2583810","1.8.7.2.7","4.6","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","University degree","Males","55 years and over","Percentage","242","units","0","v2583810","1.8.7.2.7","6.9","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","University degree","Males","55 years and over","Percentage","242","units","0","v2583810","1.8.7.2.7","5.7","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","University degree","Males","55 years and over","Percentage","242","units","0","v2583810","1.8.7.2.7","4.1","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","University degree","Males","55 years and over","Percentage","242","units","0","v2583810","1.8.7.2.7","4.1","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","University degree","Males","55 to 64 years","Percentage","242","units","0","v2583900","1.8.7.2.8","4.6","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","University degree","Males","55 to 64 years","Percentage","242","units","0","v2583900","1.8.7.2.8","4.7","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","University degree","Males","55 to 64 years","Percentage","242","units","0","v2583900","1.8.7.2.8","7.1","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","University degree","Males","55 to 64 years","Percentage","242","units","0","v2583900","1.8.7.2.8","5.5","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","University degree","Males","55 to 64 years","Percentage","242","units","0","v2583900","1.8.7.2.8","4.0","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","University degree","Males","55 to 64 years","Percentage","242","units","0","v2583900","1.8.7.2.8","4.1","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","University degree","Females","15 to 24 years","Percentage","242","units","0","v2584170","1.8.7.3.2","7.5","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","University degree","Females","15 to 24 years","Percentage","242","units","0","v2584170","1.8.7.3.2","6.6","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","University degree","Females","15 to 24 years","Percentage","242","units","0","v2584170","1.8.7.3.2","16.3","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","University degree","Females","15 to 24 years","Percentage","242","units","0","v2584170","1.8.7.3.2","8.6","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","University degree","Females","15 to 24 years","Percentage","242","units","0","v2584170","1.8.7.3.2","7.1","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","University degree","Females","15 to 24 years","Percentage","242","units","0","v2584170","1.8.7.3.2","7.6","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","University degree","Females","25 years and over","Percentage","242","units","0","v2584260","1.8.7.3.3","4.2","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","University degree","Females","25 years and over","Percentage","242","units","0","v2584260","1.8.7.3.3","3.9","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","University degree","Females","25 years and over","Percentage","242","units","0","v2584260","1.8.7.3.3","6.5","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","University degree","Females","25 years and over","Percentage","242","units","0","v2584260","1.8.7.3.3","4.8","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","University degree","Females","25 years and over","Percentage","242","units","0","v2584260","1.8.7.3.3","3.8","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","University degree","Females","25 years and over","Percentage","242","units","0","v2584260","1.8.7.3.3","3.9","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","University degree","Females","25 to 44 years","Percentage","242","units","0","v2584350","1.8.7.3.4","4.5","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","University degree","Females","25 to 44 years","Percentage","242","units","0","v2584350","1.8.7.3.4","4.1","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","University degree","Females","25 to 44 years","Percentage","242","units","0","v2584350","1.8.7.3.4","7.2","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","University degree","Females","25 to 44 years","Percentage","242","units","0","v2584350","1.8.7.3.4","4.7","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","University degree","Females","25 to 44 years","Percentage","242","units","0","v2584350","1.8.7.3.4","3.9","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","University degree","Females","25 to 44 years","Percentage","242","units","0","v2584350","1.8.7.3.4","4.2","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","University degree","Females","45 years and over","Percentage","242","units","0","v2584440","1.8.7.3.5","3.7","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","University degree","Females","45 years and over","Percentage","242","units","0","v2584440","1.8.7.3.5","3.4","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","University degree","Females","45 years and over","Percentage","242","units","0","v2584440","1.8.7.3.5","5.5","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","University degree","Females","45 years and over","Percentage","242","units","0","v2584440","1.8.7.3.5","5.0","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","University degree","Females","45 years and over","Percentage","242","units","0","v2584440","1.8.7.3.5","3.6","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","University degree","Females","45 years and over","Percentage","242","units","0","v2584440","1.8.7.3.5","3.4","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","University degree","Females","25 to 54 years","Percentage","242","units","0","v2584530","1.8.7.3.6","4.4","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","University degree","Females","25 to 54 years","Percentage","242","units","0","v2584530","1.8.7.3.6","3.9","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","University degree","Females","25 to 54 years","Percentage","242","units","0","v2584530","1.8.7.3.6","6.5","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","University degree","Females","25 to 54 years","Percentage","242","units","0","v2584530","1.8.7.3.6","4.5","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","University degree","Females","25 to 54 years","Percentage","242","units","0","v2584530","1.8.7.3.6","3.8","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","University degree","Females","25 to 54 years","Percentage","242","units","0","v2584530","1.8.7.3.6","3.9","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","University degree","Females","55 years and over","Percentage","242","units","0","v2584620","1.8.7.3.7","3.4","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","University degree","Females","55 years and over","Percentage","242","units","0","v2584620","1.8.7.3.7","3.6","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","University degree","Females","55 years and over","Percentage","242","units","0","v2584620","1.8.7.3.7","6.6","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","University degree","Females","55 years and over","Percentage","242","units","0","v2584620","1.8.7.3.7","6.7","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","University degree","Females","55 years and over","Percentage","242","units","0","v2584620","1.8.7.3.7","3.8","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","University degree","Females","55 years and over","Percentage","242","units","0","v2584620","1.8.7.3.7","4.0","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","University degree","Females","55 to 64 years","Percentage","242","units","0","v2584710","1.8.7.3.8","3.6","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","University degree","Females","55 to 64 years","Percentage","242","units","0","v2584710","1.8.7.3.8","3.9","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","University degree","Females","55 to 64 years","Percentage","242","units","0","v2584710","1.8.7.3.8","6.5","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","University degree","Females","55 to 64 years","Percentage","242","units","0","v2584710","1.8.7.3.8","6.6","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","University degree","Females","55 to 64 years","Percentage","242","units","0","v2584710","1.8.7.3.8","3.7","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","University degree","Females","55 to 64 years","Percentage","242","units","0","v2584710","1.8.7.3.8","4.0","","","","1"


